alcaldia,localidad,ambito_localidad,pob_sin_ss,pob_con_ss,pob_con_imss,pob_con_issste,pob_con_issste_est,pob_con_sspdm,pob_con_bienestar,pob_con_imssbienestar,pob_con_sspriv,pob_con_ssotro
TLALPAN,Acazacatongo,Rural,20.930232558139537,79.06976744186046,37.2093023255814,12.790697674418606,0,0,26.744186046511626,0,3.488372093023256,0
TLALPAN,El Arcoiris,Rural,42.63157894736842,57.36842105263158,13.684210526315791,17.36842105263158,0,2.1052631578947367,22.63157894736842,0,1.0526315789473684,0.5263157894736842
TLALPAN,Tezontitla,Rural,37.162954279015246,62.48534583821805,27.198124267291913,14.302461899179367,0.23446658851113714,0,18.2883939038687,0.11723329425556857,2.3446658851113718,0
XOCHIMILCO,Xochimilco,Urbana,30.80508800156468,69.11178841438853,30.383881941226736,16.543223099508477,0.11339267627671538,0.9180848512506955,18.32258004428601,0.30571783152223264,2.137463589774635,1.609151510776961
XOCHIMILCO,Tepexomulco,Rural,35.31531531531532,64.6846846846847,26.666666666666668,10.81081081081081,0,0.7207207207207207,27.207207207207208,0,0.7207207207207207,0.18018018018018017
XOCHIMILCO,Tlachiultepec de Ahuayucan (Las Malvinas),Rural,47.77777777777778,52.22222222222223,11.11111111111111,11.11111111111111,0,1.1111111111111112,23.333333333333332,5.185185185185185,0.3703703703703704,0
XOCHIMILCO,Tlalatlaco,Rural,60.952380952380956,39.04761904761905,27.61904761904762,0.9523809523809524,0,3.8095238095238098,5.714285714285714,0,0,0.9523809523809524
XOCHIMILCO,Tlatzala (Cuayuca),Rural,39.61352657004831,60.38647342995169,15.458937198067632,3.3816425120772946,0,0.4830917874396135,41.54589371980676,0,0,0
XOCHIMILCO,Tipipili,Rural,42.45416078984485,57.54583921015515,15.373765867418902,4.090267983074753,0,0.5641748942172073,37.51763046544429,0.14104372355430184,0.2820874471086037,0
XOCHIMILCO,Tochuca (San Salvador),Rural,33.513513513513516,66.48648648648648,10.81081081081081,13.783783783783784,0,1.891891891891892,25.405405405405407,13.513513513513514,1.3513513513513513,0
XOCHIMILCO,Pepelaxtla,Rural,49.56268221574344,50.437317784256564,20.699708454810494,15.451895043731778,0,0,13.411078717201166,0,0.8746355685131195,0.8746355685131195
XOCHIMILCO,Ocotitla Tepachuxiac,Rural,58.30258302583026,41.69741697416974,24.354243542435423,3.3210332103321036,0,3.6900369003690034,9.59409594095941,0,0.7380073800738007,0
XOCHIMILCO,Atotle,Rural,30.909090909090907,68.78787878787878,26.36363636363636,14.545454545454545,0,5.151515151515151,21.515151515151516,0,1.2121212121212122,0
XOCHIMILCO,Paraje Zacapa,Rural,50.63583815028901,49.36416184971098,18.381502890173408,3.121387283236994,0.11560693641618498,1.1560693641618496,25.66473988439306,0.11560693641618498,0.46242774566473993,0.5780346820809248
XOCHIMILCO,Tecanco,Rural,36.33802816901409,63.66197183098592,15.211267605633802,10.704225352112676,0,0.8450704225352111,36.33802816901409,0,0.8450704225352111,0
XOCHIMILCO,Barrio Nochicala,Rural,18.435754189944134,81.56424581005587,6.70391061452514,5.58659217877095,0,0.5586592178770949,67.0391061452514,0,1.675977653631285,0
XOCHIMILCO,Zacazontlipac,Rural,48.347826086956516,51.65217391304348,21.73913043478261,8.869565217391303,0,0.17391304347826086,20,0,0,0.8695652173913043
BENITO JUAREZ,Benito Juárez,Urbana,20.084394211257322,79.79928734800865,52.26567592530744,13.957752220991217,0.11885210974011465,0.7361460130414854,2.737053527212757,0.21444053133342394,16.35322109947415,0.8976098287930753
CUAUHTEMOC,Cuauhtémoc,Urbana,28.174483956298406,71.63444980984971,44.9666962211752,12.991038389108308,0.1099134614680042,0.7457628360604085,8.22061097229448,0.2540832850935364,6.243817367792425,0.78588124949623
MIGUEL HIDALGO,Miguel Hidalgo,Urbana,19.231548724877552,79.14493208193598,47.069751731126495,9.517938572152387,0.1565855188554057,3.954206577074336,5.379158925857118,0.19181122879822424,17.15492074215263,1.2372427437450237
VENUSTIANO CARRANZA,Venustiano Carranza,Urbana,28.20844526981952,71.60449308548041,43.21642356165371,13.877720281989795,0.13499990984980978,0.5336891260840559,12.462362295584443,0.23393974361285902,2.176450967311541,0.5936390025782955
